,datetime,trade_code,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn,free_turn,total_shares,mkt_cap,free_float_shares,mkt_freeshares,annualstdevr_100w,dividendyield2,trade_status
1,2003/1/2,000001.SZ,10.35,10.35,9.99,10.03,6484885,65629648.8,-0.46,-4.3851,24.613614,0.4601,0.5776,1945822149,19516596154,1122637794,11260057074,32.5812,1.4955,1
2,2003/1/2,000002.SZ,9.48,9.5,9.19,9.2,790027,7356678.1,-0.45,-4.6632,6.012836,0.1981,0.1981,630974713,5804967360,398714649,3668174771,25.5295,2.1739,1
3,2003/1/2,000004.SZ,14.5,14.58,14.2,14.37,220233,3162635.7,-0.62,-4.1361,3.119132,0.5287,0.5287,83976684,1206744949,41657228,598614366.4,30.1878,0.3479,1
4,2003/1/2,000005.SZ,4.56,4.59,4.45,4.47,1240283,5591371.2,-0.09,-1.9737,5.616727,0.3317,0.3317,708661316,3167716083,373949615,1671554779,41.5424,NA,1
5,2003/1/2,000006.SZ,8.05,8.5,8.02,8.09,230641,1876922.5,-0.08,-0.9792,4.249905,0.1462,0.1462,253591631,2051556295,157807037,1276658929,33.7602,1.6069,1
6,2003/1/2,000007.SZ,7.81,7.94,7.7,7.76,251400,1958368.5,-0.1,-1.2723,3.632363,0.316,0.316,143593664,1114286833,79560961,617393057.4,45.0059,NA,1
7,2003/1/2,000008.SZ,8.61,8.82,8.53,8.6,174786,1508987.4,0.01,0.1164,2.110159,0.4953,0.4953,73653208,633417588.8,35290573,303498927.8,54.7878,NA,1
8,2003/1/2,000009.SZ,5,5.05,4.87,4.88,2263838,11172427.3,-0.13,-2.5948,2.853957,0.3905,0.3905,958810042,4678993005,579726850,2829067028,48.685,NA,1
9,2003/1/2,000010.SZ,7.72,7.94,7.72,7.79,389900,3054509.9,-0.03,-0.3836,2.693637,0.5751,0.7877,147017448,1145265920,49500874,385611808.5,47.3733,NA,1
10,2003/1/2,000011.SZ,5.35,5.46,5.25,5.31,320767,1711826.9,-0.1,-1.8484,2.085703,0.351,0.351,541799175,2876953619,91391300,485287803,40.9324,NA,1
11,2003/1/2,000012.SZ,8.9,9,8.65,8.66,927330,8137371.2,-0.25,-2.8058,3.718916,0.8653,0.8653,676975416,5862607103,107165997,928057534,38.4748,1.5012,1
12,2003/1/2,000014.SZ,9.7,9.72,9.33,9.48,239844,2276740.7,-0.22,-2.268,1.813791,0.5304,0.5304,89646750,849851190,45220351,428688927.5,41.4386,NA,0
13,2003/1/2,000016.SZ,6.75,6.8,6.48,6.6,615566,4091077.3,-0.21,-3.0837,3.982454,0.2746,0.2746,601986352,3973109923,224198704,1479711446,33.6996,NA,1
14,2003/1/2,000017.SZ,4.99,5.1,4.95,5.06,801021,4022395.7,0.08,1.6064,2.036543,1.0436,2.9128,479433003,2425930995,27500000,139150000,48.8112,NA,1
15,2003/1/2,000018.SZ,10.9,11.11,10.75,10.85,212020,2302063.8,-0.15,-1.3636,1.282588,1.048,1.048,169142356,1835194563,20231200,219508520,41.66,NA,1
16,2003/1/2,000019.SZ,9.59,9.78,9.4,9.46,342743,3261481.1,-0.13,-1.3556,1.43665,0.858,0.858,181923088,1720992412,39948477,377912592.4,44.9793,0.5285,1
17,2003/1/2,000020.SZ,8.83,9,8.51,8.58,620150,5387226.7,-0.25,-2.8313,1.523326,1.1027,1.1027,283161227,2429523328,56239563,482535450.5,34.7835,NA,1
18,2003/1/2,000021.SZ,10.1,10.4,9.92,9.99,984460,9908446.2,-0.14,-1.382,4.768028,0.4908,0.4908,732932101,7321991689,200582101,2003815189,34.9616,0.6006,1
19,2003/1/2,000022.SZ,11.3,11.48,11.25,11.31,139842,1581378.8,-0.08,-0.7024,1.299185,0.2764,0.2764,381517000,4314957270,50600000,572286000,35.6358,0.9019,1
20,2003/1/2,000023.SZ,9.79,9.96,9.3,9.51,310999,2988500.9,-0.37,-3.7449,1.899212,0.6733,0.6733,138756240,1319571842,46191222,439278521.2,40.5574,NA,1
21,2003/1/2,000024.SZ,8.78,8.95,8.66,8.69,386560,3381320.3,-0.2,-2.2497,2.070459,0.2952,0.2952,476396000,4139881240,130965200,1138087588,30.4215,1.2658,1
22,2003/1/2,000025.SZ,6.39,6.44,6.3,6.38,315417,2004160.1,0,0,1.34487,0.9198,0.9198,220281600,1405396608,34293600,218793168,39.7361,NA,1
23,2003/1/2,000026.SZ,16.28,16.35,15.81,15.99,20000,320654,-0.55,-3.3253,3.56362,0.0329,0.0329,249317999,3986594804,60749999,971392484,26.6876,0.3127,1
24,2003/1/2,000027.SZ,6.23,6.33,6.16,6.16,1403830,8731696.4,-0.09,-1.44,4.197286,0.2887,0.2887,1202495332,7407371245,486316181,2995707675,24.4637,4.0584,1
25,2003/1/2,000028.SZ,8.28,8.47,8.16,8.19,432913,3571068.8,-0.14,-1.6807,2.82953,0.7888,0.7888,288149400,2359943586,54885600,449513064,35.1036,NA,1
26,2003/1/2,000029.SZ,7.75,7.9,7.63,7.66,1636721,12647602.5,-0.13,-1.6688,1.447461,1.1071,1.1071,1011660000,7749315600,147840000,1132454400,53.3333,NA,1
27,2003/1/2,000030.SZ,5.2,5.39,5.11,5.33,399010,2118022.8,0.07,1.3308,1.397885,0.9911,0.9911,288420000,1537278600,40260000,214585800,36.68,NA,1
28,2003/1/2,000031.SZ,7.82,7.95,7.63,7.65,1165800,9058353.4,-0.17,-2.1739,2.628551,0.7131,0.7131,466302377,3567213184,163489877,1250697559,39.2846,NA,1
29,2003/1/2,000032.SZ,12.2,12.49,12.03,12.08,135987,1656932.3,-0.21,-1.7087,1.40634,0.2483,0.2483,149272000,1803205760,54760003,661500836.2,25.6167,0.7254,1
30,2003/1/2,000033.SZ,7.15,7.28,7.05,7.1,387457,2764129.9,-0.09,-1.2517,1.220766,0.5764,0.5764,287723488,2042836765,67223488,477286764.8,43.4447,NA,1
31,2003/1/2,000034.SZ,7.13,7.34,7,7.19,630999,4505313.5,-0.01,-0.1389,1.906248,0.7453,0.7453,311139400,2237092286,84658866,608697246.5,41.6636,NA,1
32,2003/1/2,000035.SZ,12.89,13.22,12.62,12.8,191580,2486522.2,-0.19,-1.4627,1.280996,0.4492,0.4492,115887200,1483356160,42649200,545909760,45.0521,NA,1
33,2003/1/2,000036.SZ,5.77,5.8,5.6,5.62,386800,2201088.7,-0.16,-2.7682,2.386163,0.2183,0.2183,359555085,2020699578,177172500,995709450,35.3784,NA,1
34,2003/1/2,000037.SZ,9.7,9.88,9.65,9.74,327350,3176659.5,-0.11,-1.1168,3.421723,0.5048,0.5048,547965998,5337188821,64846135,631601354.9,32.835,3.1828,1
35,2003/1/2,000038.SZ,12.4,12.69,12.4,12.5,122124,1525870.5,0,0,1.371282,0.6381,0.6381,90486000,1131075000,19140000,239250000,36.6288,NA,1
36,2003/1/2,000039.SZ,14.1,14.45,13.98,14.02,270179,3796814.1,-0.26,-1.8207,4.357161,0.3897,0.3897,510302096,7154435386,69333262,972052333.2,27.2118,2.3776,1
37,2003/1/2,000040.SZ,6.14,6.28,6.06,6.09,931490,5706811.4,-0.05,-0.8143,3.262955,0.3248,0.3248,469593364,2859823587,286800468,1746614850,43.6272,NA,1
38,2003/1/2,000042.SZ,9.67,9.8,9.4,9.41,136000,1301327,-0.27,-2.7893,4.092449,0.1962,0.1962,239463040,2253347206,69329442,652390049.2,32.1507,1.3815,1
39,2003/1/2,000043.SZ,10.19,10.38,9.98,10.01,162636,1649414.1,-0.25,-2.4366,1.67363,0.4258,0.4258,139325472,1394647975,38195872,382340678.7,42.7027,NA,1
40,2003/1/2,000045.SZ,11.42,11.66,11.2,11.3,55700,635083,-0.3,-2.5862,1.330756,0.2512,0.2512,163416000,1846600800,22176000,250588800,32.212,NA,1
